,0
Curricular units 2nd sem (approved),0.1459454304250932
Curricular units 2nd sem (grade),0.12616271385992658
Curricular units 1st sem (approved),0.09513213155755244
Curricular units 1st sem (grade),0.06663011309064958
Tuition fees up to date,0.0639358732733581
Age at enrollment,0.04373644904777308
Admission grade,0.03936150823952476
Curricular units 2nd sem (evaluations),0.035699281961687916
Previous qualification (grade),0.03401670445564945
Course,0.029681138867655447
Curricular units 1st sem (evaluations),0.027685301778121046
Father's occupation,0.024446595621656304
Mother's occupation,0.022215644121953006
Curricular units 2nd sem (enrolled),0.02203029779238817
GDP,0.020498991762899044
Curricular units 1st sem (enrolled),0.018848705086471802
Application mode,0.01847989333738722
Unemployment rate,0.018256528243571893
Father's qualification,0.018063016825000045
Mother's qualification,0.017978549324586347
Inflation rate,0.016548913059362232
Debtor,0.015183917874082848
Scholarship holder,0.012975177506361485
Application order,0.011242422107168182
Gender,0.010189713049232671
Curricular units 1st sem (credited),0.007200272525711294
Displaced,0.006404350280779065
Curricular units 2nd sem (credited),0.006165695178051726
Previous qualification,0.006092436048082315
Curricular units 2nd sem (without evaluations),0.00478062820311288
Curricular units 1st sem (without evaluations),0.004541123738081883
Marital status,0.0032540931469369322
Daytime/evening attendance,0.0021899628126176114
Nacionality,0.0021710675178329194
Educational special needs,0.0011567044673404
International,0.0010986538123401728
